Index,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,Company
2009,USD,97476.0,2010-02-23,2010-02-23 14:25:33,2009,FY,1182000000.0,1743000000.0,2925000000.0,1277000000.0,1202000000.0,710000000.0,6114000000.0,3158000000.0,926000000.0,243000000.0,1169000000.0,637000000,926000000.0,115000000.0,6005000000.0,0.0,12119000000.0,503000000.0,0.0,128000000,0,956000000.0,1587000000.0,0.0,0,67000000.0,743000000.0,810000000.0,0.0,0,2397000000.0,0,1740000000.0,22066000000.0,-621000000.0,-13463000000.0,9722000000.0,9722000000.0,12119000000.0,0,12119000000.0,2380000000,0.0,-1182000000.0,https://www.sec.gov/Archives/edgar/data/97476/000114036110007923/0001140361-10-007923-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000114036110007923/form10k.htm,TXN
2008,USD,97476.0,2009-02-24,2009-02-24 10:57:45,2008,FY,1046000000.0,1494000000.0,2540000000.0,913000000.0,1375000000.0,962000000.0,5790000000.0,3304000000.0,840000000.0,273000000.0,1113000000.0,653000000,990000000.0,73000000.0,6133000000.0,0.0,11923000000.0,324000000.0,0.0,40000000,0,1168000000.0,1532000000.0,0.0,366000000,59000000.0,640000000.0,1065000000.0,0.0,0,2597000000.0,0,1740000000.0,21168000000.0,-790000000.0,-12792000000.0,9326000000.0,9326000000.0,11923000000.0,0,11923000000.0,2147000000,0.0,-1046000000.0,https://www.sec.gov/Archives/edgar/data/97476/000120677409000314/0001206774-09-000314-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000120677409000314/texas_10k.htm,TXN
2007,USD,97476.0,2008-02-26,2008-02-26 15:01:17,2007,FY,1328000000.0,1596000000.0,2924000000.0,1742000000.0,1418000000.0,834000000.0,6918000000.0,3609000000.0,838000000.0,342000000.0,1180000000.0,0,510000000.0,450000000.0,5749000000.0,0.0,12667000000.0,657000000.0,0.0,0,0,1368000000.0,2025000000.0,0.0,0,49000000.0,618000000.0,667000000.0,0.0,0,2692000000.0,0,1740000000.0,19788000000.0,-324000000.0,-11229000000.0,9975000000.0,9975000000.0,12667000000.0,0,12667000000.0,0,0.0,-1328000000.0,https://www.sec.gov/Archives/edgar/data/97476/000119312508038572/0001193125-08-038572-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312508038572/d10k.htm,TXN
2006,USD,97476.0,2007-02-28,2007-02-28 15:04:28,2006,FY,1183000000.0,2534000000.0,3717000000.0,1774000000.0,1437000000.0,926000000.0,7854000000.0,3950000000.0,792000000.0,306000000.0,1098000000.0,0,601000000.0,427000000.0,6076000000.0,0.0,13930000000.0,560000000.0,43000000.0,0,0,1475000000.0,2078000000.0,0.0,0,23000000.0,469000000.0,492000000.0,0.0,0,2570000000.0,0,1739000000.0,17529000000.0,-363000000.0,-7545000000.0,11360000000.0,11360000000.0,13930000000.0,0,13930000000.0,0,43000000.0,-1140000000.0,https://www.sec.gov/Archives/edgar/data/97476/000119312507042451/0001193125-07-042451-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312507042451/d10k.htm,TXN
2005,USD,97476.0,2006-02-28,2006-02-28 16:19:07,2005,FY,1219000000.0,4116000000.0,5335000000.0,1812000000.0,1273000000.0,765000000.0,9185000000.0,3899000000.0,0.0,777000000.0,777000000.0,0,393000000.0,809000000.0,5878000000.0,0.0,15063000000.0,750000000.0,301000000.0,0,0,1295000000.0,2346000000.0,360000000.0,0,23000000.0,397000000.0,780000000.0,0.0,0,3126000000.0,0,1739000000.0,13394000000.0,-82000000.0,-3114000000.0,11937000000.0,11937000000.0,15063000000.0,0,15063000000.0,0,661000000.0,-558000000.0,https://www.sec.gov/Archives/edgar/data/97476/000119312506041333/0001193125-06-041333-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312506041333/d10k.htm,TXN
2004,USD,97476.0,2005-02-28,2005-02-28 16:11:59,2004,FY,2668000000.0,3690000000.0,6358000000.0,1696000000.0,1256000000.0,880000000.0,10190000000.0,3918000000.0,0.0,812000000.0,812000000.0,0,449000000.0,930000000.0,6109000000.0,0.0,16299000000.0,552000000.0,11000000.0,0,0,1362000000.0,1925000000.0,368000000.0,0,40000000.0,903000000.0,1311000000.0,0.0,0,3236000000.0,0,1738000000.0,11242000000.0,-187000000.0,270000000.0,13063000000.0,13063000000.0,16299000000.0,0,16299000000.0,0,379000000.0,-2289000000.0,https://www.sec.gov/Archives/edgar/data/97476/000119312505038623/0001193125-05-038623-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312505038623/d10k.htm,TXN
2003,USD,97476.0,2004-02-27,2004-02-27 16:28:29,2003,FY,1818000000.0,2511000000.0,4329000000.0,1451000000.0,984000000.0,945000000.0,7709000000.0,4132000000.0,0.0,862000000.0,862000000.0,0,626000000.0,2181000000.0,7801000000.0,0.0,15510000000.0,1496000000.0,437000000.0,0,0,267000000.0,2200000000.0,395000000.0,0,59000000.0,992000000.0,1446000000.0,0.0,0,3646000000.0,0,1738000000.0,9535000000.0,-175000000.0,766000000.0,11864000000.0,11864000000.0,15510000000.0,0,15510000000.0,0,832000000.0,-986000000.0,https://www.sec.gov/Archives/edgar/data/97476/000119312504031317/0001193125-04-031317-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000119312504031317/d10k.htm,TXN
2002,USD,97476.0,2003-03-03,2003-03-03 08:42:46,2002,FY,949000000.0,2063000000.0,3012000000.0,1217000000.0,790000000.0,1107000000.0,6126000000.0,4794000000.0,0.0,823000000.0,823000000.0,0,618000000.0,2318000000.0,8553000000.0,0.0,14679000000.0,511000000.0,422000000.0,0,0,1001000000.0,1934000000.0,833000000.0,0,129000000.0,1049000000.0,2011000000.0,0.0,0,3945000000.0,0,1740000000.0,8484000000.0,-303000000.0,813000000.0,10734000000.0,10734000000.0,14679000000.0,0,14679000000.0,0,1255000000.0,306000000.0,https://www.sec.gov/Archives/edgar/data/97476/000093066103000885/0000930661-03-000885-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000093066103000885/d10k.htm,TXN
2001,USD,97476.0,2002-03-04,2002-03-04 00:00:00,2001,FY,431000000.0,2513000000.0,2944000000.0,1198000000.0,751000000.0,882000000.0,5775000000.0,5589000000.0,748000000.0,0.0,748000000.0,0,421000000.0,3246000000.0,10004000000.0,0.0,15779000000.0,1205000000.0,38000000.0,0,0,337000000.0,1580000000.0,1211000000.0,0,331000000.0,778000000.0,2320000000.0,0.0,0,3900000000.0,0,1740000000.0,8975000000.0,-4094000000.0,5258000000.0,11879000000.0,11879000000.0,15779000000.0,0,15779000000.0,0,1249000000.0,818000000.0,https://www.sec.gov/Archives/edgar/data/97476/000009747602000011/0000097476-02-000011-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747602000011/doc1.txt,TXN
2000,USD,97476.0,2001-02-28,2001-02-28 00:00:00,2000,FY,745000000.0,3258000000.0,4003000000.0,2204000000.0,1233000000.0,675000000.0,8115000000.0,5447000000.0,0.0,961000000.0,961000000.0,0,106000000.0,3091000000.0,9605000000.0,0.0,17720000000.0,1921000000.0,148000000.0,0,0,744000000.0,2813000000.0,1216000000.0,0,469000000.0,634000000.0,2319000000.0,0.0,0,5132000000.0,0,1733000000.0,9323000000.0,-3652000000.0,5184000000.0,12588000000.0,12588000000.0,17720000000.0,0,17720000000.0,0,1364000000.0,619000000.0,https://www.sec.gov/Archives/edgar/data/97476/000009747601000007/0000097476-01-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747601000007/0000097476-01-000007-0001.txt,TXN
1999,USD,97476.0,1999-12-31,1999-12-30 19:00:00,1999,FY,662000000.0,2000000000.0,2662000000.0,1843000000.0,845000000.0,705000000.0,6055000000.0,3835000000.0,503000000.0,0.0,503000000.0,0,41000000.0,4594000000.0,8973000000.0,0.0,15028000000.0,1682000000.0,313000000.0,0,0,633000000.0,2628000000.0,1097000000.0,0,994000000.0,1054000000.0,3145000000.0,0.0,0,5773000000.0,0,814000000.0,6175000000.0,-3285000000.0,5551000000.0,9255000000.0,9255000000.0,15028000000.0,0,15028000000.0,0,1410000000.0,748000000.0,,,TXN
1998,USD,97476.0,1998-12-31,1998-12-30 19:00:00,1998,FY,540000000.0,1709000000.0,2249000000.0,1343000000.0,596000000.0,658000000.0,4846000000.0,3373000000.0,0.0,0.0,0.0,0,23000000.0,3008000000.0,6404000000.0,0.0,11250000000.0,1582000000.0,267000000.0,0,0,347000000.0,2196000000.0,1027000000.0,0,381000000.0,1119000000.0,2527000000.0,0.0,0,4723000000.0,0,392000000.0,4795000000.0,-3006000000.0,4346000000.0,6527000000.0,6527000000.0,11250000000.0,0,11250000000.0,0,1294000000.0,754000000.0,,,TXN
1997,USD,97476.0,1997-12-31,1997-12-30 19:00:00,1997,FY,1015000000.0,2005000000.0,3020000000.0,1705000000.0,742000000.0,636000000.0,6103000000.0,4180000000.0,0.0,0.0,0.0,0,134000000.0,432000000.0,4746000000.0,0.0,10849000000.0,2082000000.0,71000000.0,0,0,343000000.0,2496000000.0,1286000000.0,0,0.0,1153000000.0,2439000000.0,0.0,0,4935000000.0,0,390000000.0,4488000000.0,-3234000000.0,4270000000.0,5914000000.0,5914000000.0,10849000000.0,0,10849000000.0,0,1357000000.0,342000000.0,,,TXN
1996,USD,97476.0,1996-12-31,1996-12-30 19:00:00,1996,FY,964000000.0,14000000.0,978000000.0,1799000000.0,703000000.0,974000000.0,4454000000.0,4162000000.0,0.0,0.0,0.0,0,192000000.0,552000000.0,4906000000.0,0.0,9360000000.0,1940000000.0,314000000.0,0,0,232000000.0,2486000000.0,1697000000.0,0,0.0,1080000000.0,2777000000.0,0.0,0,5263000000.0,0,190000000.0,2814000000.0,-2550000000.0,3643000000.0,4097000000.0,4097000000.0,9360000000.0,0,9360000000.0,0,2011000000.0,1047000000.0,,,TXN
1995,USD,97476.0,1995-12-31,1995-12-30 19:00:00,1995,FY,1364000000.0,189000000.0,1553000000.0,2320000000.0,1135000000.0,510000000.0,5518000000.0,3187000000.0,0.0,0.0,0.0,0,229000000.0,281000000.0,3697000000.0,0.0,9215000000.0,2573000000.0,27000000.0,0,0,588000000.0,3188000000.0,804000000.0,0,0.0,1128000000.0,1932000000.0,0.0,0,5120000000.0,0,190000000.0,2881000000.0,-2444000000.0,3468000000.0,4095000000.0,4095000000.0,9215000000.0,0,9215000000.0,0,831000000.0,-533000000.0,,,TXN
1994,USD,97476.0,1994-12-31,1994-12-30 19:00:00,1994,FY,760000000.0,530000000.0,1290000000.0,1442000000.0,882000000.0,403000000.0,4017000000.0,2568000000.0,0.0,0.0,0.0,0,243000000.0,161000000.0,2972000000.0,0.0,6989000000.0,1877000000.0,12000000.0,0,0,310000000.0,2199000000.0,808000000.0,0,0.0,943000000.0,1751000000.0,0.0,0,3950000000.0,0,93000000.0,1912000000.0,-2327000000.0,3361000000.0,3039000000.0,3039000000.0,6989000000.0,0,6989000000.0,0,820000000.0,60000000.0,,,TXN
2022,USD,804328.0,2022-11-02,2022-11-02 16:04:10,2022,FY,2773000000.0,3609000000.0,6382000000.0,5643000000.0,6341000000.0,2358000000.0,20724000000.0,5168000000.0,10508000000.0,1882000000.0,12390000000.0,0,1803000000.0,8929000000.0,28290000000.0,0.0,49014000000.0,3796000000.0,1945000000.0,634000000,369000000,5122000000.0,11866000000.0,13537000000.0,144000000,0.0,5454000000.0,19135000000.0,0.0,0,31001000000.0,0,195000000.0,17840000000.0,-22000000.0,0.0,18013000000.0,18013000000.0,49014000000.0,0,49014000000.0,0,15482000000.0,12709000000.0,https://www.sec.gov/Archives/edgar/data/804328/000080432822000021/0000804328-22-000021-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432822000021/qcom-20220925.htm,QCOM
2021,USD,804328.0,2021-11-03,2021-11-03 16:06:41,2021,FY,7116000000.0,5298000000.0,12414000000.0,3579000000.0,3228000000.0,854000000.0,20075000000.0,4559000000.0,7246000000.0,1458000000.0,8704000000.0,0,1591000000.0,6311000000.0,21165000000.0,0.0,41240000000.0,2750000000.0,2044000000.0,862000000,612000000,5683000000.0,11951000000.0,13701000000.0,364000000,0.0,5274000000.0,19339000000.0,0.0,0,31290000000.0,0,0.0,9822000000.0,128000000.0,0.0,9950000000.0,9950000000.0,41240000000.0,0,41240000000.0,0,15745000000.0,8629000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894921000076/0001728949-21-000076-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894921000076/qcom-20210926.htm,QCOM
2020,USD,804328.0,2020-11-04,2020-11-04 17:19:44,2020,FY,6707000000.0,4507000000.0,11214000000.0,4003000000.0,2598000000.0,704000000.0,18519000000.0,3711000000.0,6323000000.0,1653000000.0,7976000000.0,0,1351000000.0,4037000000.0,17075000000.0,0.0,35594000000.0,2248000000.0,500000000.0,549000000,568000000,4807000000.0,8672000000.0,15226000000.0,761000000,0.0,4858000000.0,20845000000.0,0.0,0,29517000000.0,0,586000000.0,5284000000.0,207000000.0,0.0,6077000000.0,6077000000.0,35594000000.0,0,35594000000.0,0,15726000000.0,9019000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894920000067/0001728949-20-000067-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894920000067/qcom-20200927.htm,QCOM
2019,USD,804328.0,2019-11-06,2019-11-06 16:08:43,2019,FY,11839000000.0,421000000.0,12260000000.0,2471000000.0,1400000000.0,634000000.0,16765000000.0,3081000000.0,6282000000.0,2172000000.0,8454000000.0,0,1196000000.0,3461000000.0,16192000000.0,0.0,32957000000.0,1368000000.0,2496000000.0,480000000,565000000,4026000000.0,8935000000.0,13437000000.0,1160000000,0.0,4516000000.0,19113000000.0,0.0,0,28048000000.0,0,343000000.0,4466000000.0,100000000.0,0.0,4909000000.0,4909000000.0,32957000000.0,0,32957000000.0,0,15933000000.0,4094000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894919000072/0001728949-19-000072-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894919000072/qcom10-k2019.htm,QCOM
2018,USD,804328.0,2018-11-07,2018-11-07 16:15:48,2018,FY,11777000000.0,311000000.0,12088000000.0,2904000000.0,1693000000.0,699000000.0,17384000000.0,2975000000.0,6498000000.0,2955000000.0,9453000000.0,35000000,904000000.0,1935000000.0,15302000000.0,0.0,32686000000.0,1825000000.0,1005000000.0,453000000,500000000,7453000000.0,11236000000.0,15365000000.0,1620000000,0.0,3537000000.0,20522000000.0,0.0,0,31758000000.0,0,0.0,663000000.0,265000000.0,0.0,928000000.0,928000000.0,32686000000.0,0,32686000000.0,346000000,16370000000.0,4593000000.0,https://www.sec.gov/Archives/edgar/data/804328/000172894918000095/0001728949-18-000095-index.html,https://www.sec.gov/Archives/edgar/data/804328/000172894918000095/qcom10-k2018.htm,QCOM
2017,USD,804328.0,2017-11-01,2017-11-01 16:10:14,2017,FY,35029000000.0,2279000000.0,37308000000.0,3632000000.0,2035000000.0,618000000.0,43593000000.0,3216000000.0,6623000000.0,3737000000.0,10360000000.0,1270000000,2900000000.0,4147000000.0,21893000000.0,0.0,65486000000.0,1971000000.0,2495000000.0,0,502000000,5939000000.0,10907000000.0,19398000000.0,2003000000,0.0,2432000000.0,23833000000.0,0.0,0,34740000000.0,0,274000000.0,30088000000.0,384000000.0,0.0,30746000000.0,30746000000.0,65486000000.0,0,65486000000.0,3549000000,21893000000.0,-13136000000.0,https://www.sec.gov/Archives/edgar/data/804328/000123445217000190/0001234452-17-000190-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445217000190/qcom10-k2017.htm,QCOM
2016,USD,804328.0,2016-11-02,2016-11-02 16:11:53,2016,FY,5946000000.0,12702000000.0,18648000000.0,2219000000.0,1556000000.0,558000000.0,22981000000.0,2306000000.0,5679000000.0,3500000000.0,9179000000.0,13702000000,2030000000.0,2161000000.0,29378000000.0,0.0,52359000000.0,1858000000.0,1749000000.0,0,509000000,3195000000.0,7311000000.0,10008000000.0,2377000000,0.0,895000000.0,13280000000.0,0.0,0,20591000000.0,0,414000000.0,30936000000.0,428000000.0,0.0,31778000000.0,31778000000.0,52369000000.0,0,52369000000.0,26404000000,11757000000.0,5811000000.0,https://www.sec.gov/Archives/edgar/data/804328/000123445216000552/0001234452-16-000552-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445216000552/qcom10-k2016.htm,QCOM
2015,USD,804328.0,2015-11-04,2015-11-04 16:26:47,2015,FY,7560000000.0,9761000000.0,17321000000.0,1964000000.0,1492000000.0,1322000000.0,22099000000.0,2534000000.0,5479000000.0,3742000000.0,9221000000.0,13626000000,1453000000.0,1863000000.0,28697000000.0,0.0,50796000000.0,1300000000.0,1000000000.0,0,583000000,3217000000.0,6100000000.0,9969000000.0,2496000000,0.0,817000000.0,13282000000.0,0.0,0,19382000000.0,0,0.0,31226000000.0,195000000.0,0.0,31421000000.0,31421000000.0,50803000000.0,0,50803000000.0,23387000000,10969000000.0,3409000000.0,https://www.sec.gov/Archives/edgar/data/804328/000123445215000271/0001234452-15-000271-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445215000271/qcom10-k2015.htm,QCOM
2014,USD,804328.0,2014-11-05,2014-11-05 16:18:10,2014,FY,7907000000.0,9658000000.0,17565000000.0,2412000000.0,1458000000.0,978000000.0,22413000000.0,2487000000.0,4488000000.0,2580000000.0,7068000000.0,14457000000,1174000000.0,975000000.0,26161000000.0,0.0,48574000000.0,2183000000.0,0.0,0,785000000,3045000000.0,6013000000.0,0.0,2967000000,0.0,428000000.0,3395000000.0,0.0,0,9408000000.0,0,7736000000.0,30799000000.0,634000000.0,0.0,39169000000.0,39169000000.0,48577000000.0,0,48577000000.0,24115000000,0.0,-7907000000.0,https://www.sec.gov/Archives/edgar/data/804328/000123445214000320/0001234452-14-000320-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445214000320/qcom10-k2014.htm,QCOM
2013,USD,804328.0,2013-11-06,2013-11-06 16:22:40,2013,FY,6142000000.0,8824000000.0,14966000000.0,2142000000.0,1302000000.0,1145000000.0,19555000000.0,2995000000.0,3976000000.0,2553000000.0,6529000000.0,14440000000,1059000000.0,938000000.0,25961000000.0,0.0,45516000000.0,1554000000.0,0.0,0,501000000,3158000000.0,5213000000.0,0.0,3666000000,0.0,550000000.0,4216000000.0,0.0,0,9429000000.0,0,0.0,25461000000.0,753000000.0,9874000000.0,36088000000.0,36088000000.0,45517000000.0,0,45517000000.0,23264000000,17000000.0,-6125000000.0,https://www.sec.gov/Archives/edgar/data/804328/000123445213000483/0001234452-13-000483-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445213000483/qcom10-k2013.htm,QCOM
2012,USD,804328.0,2012-11-07,2012-11-07 16:15:01,2012,FY,3807000000.0,8567000000.0,12374000000.0,1459000000.0,1030000000.0,782000000.0,15645000000.0,2851000000.0,3917000000.0,2938000000.0,6855000000.0,14463000000,1412000000.0,1786000000.0,27367000000.0,0.0,43012000000.0,1298000000.0,0.0,0,545000000,3459000000.0,5302000000.0,0.0,3739000000,0.0,426000000.0,4165000000.0,0.0,0,9467000000.0,0,0.0,20701000000.0,866000000.0,11956000000.0,33523000000.0,33523000000.0,42990000000.0,0,42990000000.0,23030000000,0.0,-3807000000.0,https://www.sec.gov/Archives/edgar/data/804328/000123445212000371/0001234452-12-000371-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445212000371/qcom10-k2012.htm,QCOM
2011,USD,804328.0,2011-11-02,2011-11-02 16:08:57,2011,FY,5462000000.0,6190000000.0,11652000000.0,993000000.0,765000000.0,883000000.0,14293000000.0,2414000000.0,3432000000.0,3099000000.0,6531000000.0,9261000000,1703000000.0,2220000000.0,22129000000.0,0.0,36422000000.0,969000000.0,994000000.0,18000000,610000000,2698000000.0,5289000000.0,0.0,3541000000,0.0,620000000.0,4161000000.0,0.0,0,9450000000.0,0,0.0,16204000000.0,353000000.0,10394000000.0,26951000000.0,26951000000.0,36401000000.0,0,36401000000.0,15451000000,994000000.0,-4468000000.0,https://www.sec.gov/Archives/edgar/data/804328/000123445211000360/0001234452-11-000360-index.html,https://www.sec.gov/Archives/edgar/data/804328/000123445211000360/qcom10-k2011.htm,QCOM
2010,USD,804328.0,2010-11-03,2010-11-03 17:18:30,2010,FY,3547000000.0,6732000000.0,10279000000.0,730000000.0,528000000.0,596000000.0,12133000000.0,2373000000.0,1488000000.0,3022000000.0,4510000000.0,8123000000,1922000000.0,1511000000.0,18439000000.0,0.0,30572000000.0,764000000.0,1086000000.0,1443000000,623000000,1552000000.0,5468000000.0,0.0,3485000000,0.0,761000000.0,4246000000.0,0.0,0,9714000000.0,0,0.0,13305000000.0,697000000.0,6856000000.0,20858000000.0,20858000000.0,30572000000.0,0,30572000000.0,14855000000,1086000000.0,-2461000000.0,https://www.sec.gov/Archives/edgar/data/804328/000095012310100207/0000950123-10-100207-index.html,https://www.sec.gov/Archives/edgar/data/804328/000095012310100207/a57478e10vk.htm,QCOM
2009,USD,804328.0,2009-11-05,2009-11-04 20:21:47,2009,FY,2717000000.0,8352000000.0,11069000000.0,700000000.0,453000000.0,348000000.0,12570000000.0,2387000000.0,1492000000.0,3065000000.0,4557000000.0,6673000000,843000000.0,415000000.0,14875000000.0,0.0,27445000000.0,636000000.0,0.0,0,441000000,1736000000.0,2813000000.0,0.0,3464000000,0.0,852000000.0,4316000000.0,0.0,0,7129000000.0,0,0.0,11235000000.0,588000000.0,8493000000.0,20316000000.0,20316000000.0,27445000000.0,0,27445000000.0,15025000000,170000000.0,-2547000000.0,https://www.sec.gov/Archives/edgar/data/804328/000095012309057827/0000950123-09-057827-index.html,https://www.sec.gov/Archives/edgar/data/804328/000095012309057827/a54086e10vk.htm,QCOM
2008,USD,804328.0,2008-11-06,2008-11-06 16:23:15,2008,FY,1840000000.0,4571000000.0,6411000000.0,4038000000.0,521000000.0,753000000.0,11723000000.0,2162000000.0,1517000000.0,3104000000.0,4621000000.0,0,830000000.0,5227000000.0,12840000000.0,0.0,24563000000.0,570000000.0,173000000.0,0,394000000,1154000000.0,2291000000.0,0.0,0,0.0,4328000000.0,4328000000.0,0.0,0,6619000000.0,0,0.0,10717000000.0,-284000000.0,7511000000.0,17944000000.0,17944000000.0,24563000000.0,0,24563000000.0,0,173000000.0,-1667000000.0,https://www.sec.gov/Archives/edgar/data/804328/000093639208000707/0000936392-08-000707-index.html,https://www.sec.gov/Archives/edgar/data/804328/000093639208000707/a50397e10vk.htm,QCOM
2007,USD,804328.0,2007-11-08,2007-11-08 16:03:56,2007,FY,2411000000.0,4170000000.0,6581000000.0,715000000.0,469000000.0,1056000000.0,8821000000.0,1788000000.0,1325000000.0,0.0,1325000000.0,0,318000000.0,6243000000.0,9674000000.0,0.0,18495000000.0,635000000.0,0.0,0,218000000,1405000000.0,2258000000.0,0.0,0,0.0,402000000.0,402000000.0,0.0,0,2660000000.0,0,0.0,8541000000.0,237000000.0,7057000000.0,15835000000.0,15835000000.0,18495000000.0,0,18495000000.0,0,0.0,-2411000000.0,https://www.sec.gov/Archives/edgar/data/804328/000093639207000836/0000936392-07-000836-index.html,https://www.sec.gov/Archives/edgar/data/804328/000093639207000836/a35354e10vk.htm,QCOM
2006,USD,804328.0,2006-11-02,2006-11-02 16:24:35,2006,FY,1607000000.0,4114000000.0,5721000000.0,700000000.0,250000000.0,378000000.0,7049000000.0,1482000000.0,1230000000.0,0.0,1230000000.0,0,512000000.0,4935000000.0,8159000000.0,0.0,15208000000.0,420000000.0,0.0,0,197000000,805000000.0,1422000000.0,0.0,0,0.0,380000000.0,380000000.0,0.0,0,1802000000.0,0,0.0,6100000000.0,64000000.0,7242000000.0,13406000000.0,13406000000.0,15208000000.0,0,15208000000.0,0,0.0,-1607000000.0,https://www.sec.gov/Archives/edgar/data/804328/000093639206000996/a24679e10vk.htm,https://www.sec.gov/Archives/edgar/data/804328/000093639206000996/a24679e10vk.htm,QCOM
2005,USD,804328.0,2005-11-02,2005-11-02 17:17:00,2005,FY,2070000000.0,4478000000.0,6548000000.0,544000000.0,177000000.0,522000000.0,7791000000.0,1022000000.0,0.0,571000000.0,571000000.0,0,444000000.0,2651000000.0,4688000000.0,0.0,12479000000.0,376000000.0,0.0,0,163000000,531000000.0,1070000000.0,0.0,0,0.0,290000000.0,290000000.0,0.0,0,1360000000.0,0,0.0,4328000000.0,38000000.0,6753000000.0,11119000000.0,11119000000.0,12479000000.0,0,12479000000.0,0,0.0,-2070000000.0,https://www.sec.gov/Archives/edgar/data/804328/000093639205000362/a14009e10vk.htm,https://www.sec.gov/Archives/edgar/data/804328/000093639205000362/a14009e10vk.htm,QCOM
2004,USD,804328.0,2004-09-30,2004-09-29 20:00:00,2004,FY,1214000000.0,4768000000.0,5982000000.0,581000000.0,154000000.0,510000000.0,7227000000.0,675000000.0,0.0,356000000.0,356000000.0,0,493000000.0,2069000000.0,3593000000.0,0.0,10820000000.0,286000000.0,0.0,0,172000000,436000000.0,894000000.0,0.0,0,0.0,262000000.0,262000000.0,0.0,0,1156000000.0,0,0.0,2709000000.0,15000000.0,6940000000.0,9664000000.0,9664000000.0,10820000000.0,0,10820000000.0,0,0.0,-1214000000.0,,,QCOM
2003,USD,804328.0,2003-09-30,2003-09-29 20:00:00,2003,FY,2045094000.0,2516003000.0,4561097000.0,489588000.0,110351000.0,787728000.0,5948764000.0,622265000.0,0.0,346464000.0,346464000.0,0,406746000.0,1498197000.0,2873672000.0,0.0,8822436000.0,195065000.0,102625000.0,0,174271000,336241000.0,808202000.0,123302000.0,0,0.0,292310000.0,415612000.0,0.0,0,1223814000.0,0,81000.0,1297289000.0,-23769000.0,6324971000.0,7598572000.0,7598572000.0,8822386000.0,0,8822386000.0,0,225927000.0,-1819167000.0,,,QCOM
2001,USD,804328.0,2001-11-09,2001-11-09 00:00:00,2001,FY,1388602000.0,894577000.0,2283179000.0,527902000.0,95863000.0,147814000.0,3054758000.0,431396000.0,0.0,585046000.0,585046000.0,0,0.0,1675933000.0,2692375000.0,0.0,5747133000.0,106433000.0,0.0,0,0,414556000.0,520989000.0,0.0,0,0.0,330442000.0,330442000.0,0.0,0,851431000.0,0,76000.0,322347000.0,-408524000.0,4975916000.0,4889815000.0,4889815000.0,5741246000.0,0,5741246000.0,0,0.0,-1388602000.0,https://www.sec.gov/Archives/edgar/data/804328/000093639201500225/0000936392-01-500225-index.html,https://www.sec.gov/Archives/edgar/data/804328/000093639201500225/a76829e10-k.htm,QCOM
