Index,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,Company
1995,FY,8.491571693361804,0.7037500001811121,1.0782640168216122,0.14747702209677718,1.0045255057732234,2.6487649363434316,2.6487649363434316,2.6487649363434316,0.5375149358000958,6507375147.259446,5974375147.259446,5.981043333878168,0.4956867114000187,3.9036443594837715,28.5411190669274,1.5891026000633568,1.5891026000633568,0.4550864676462101,2.515526377793451,3.5839083066943287,26.20339976868178,0.16719490968001233,0.035037168572649637,1.2503052503052503,0.555615843733044,-0.22442105263157894,1.730865746549561,0.0,1.5321691176470589,0.01705756891036891,0.1020220588235294,0.0,0.0,0.0,-0.8632273545290942,-0.10961304082876296,-1.9034391534391533,0.0,6.476228632445493,0.2644765223162436,0.11806836679327185,-0.8146811812758371,2330000000.0,4095000000.0,398000000.0,0.20293040293040293,1881000000.0,2225000000.0,1008500000.0,64.50335161486899,100.78825928310795,44.45964799313158,5.658620689655173,3.621453556160125,8.209691629955946,0.2656898656898657,-0.9307869947248348,TXN
1994,FY,6.782746924114848,0.4543749999576695,1.0073842256659185,0.29984804628176165,0.8482543414549836,1.99832941370674,1.99832941370674,1.99832941370674,0.5392004341031679,4604482830.518207,4664482830.518207,6.663506267030691,0.4463870897254684,3.005537095638516,10.097550066925892,1.5151309083640037,1.5151309083640037,0.4522038614171795,2.7325617050487443,3.0447015865001346,10.229129014294312,0.15007114271772234,0.09903392341430016,1.2997696610727212,0.5651738446129633,0.0351493848857645,1.8267394270122783,0.0,2.2170767004341534,0.017157192872214278,0.11432706222865413,0.0,0.0,0.0,-0.7023498694516971,-0.1043141056713524,-1.6180451127819548,0.0,4.519933170251439,1.9273486430062632,0.09886965231077408,-0.7479762119418945,1818000000.0,3039000000.0,67000000.0,0.26982560052648896,,,,51.02569074163839,91.70191406772855,43.0906170526034,7.153259361997226,3.9802876931273303,8.470521541950113,0.2273774267851267,-0.7075361793841568,TXN
1993,FY,6.1976439790575935,0.34322280395578825,0.6791739383362422,0.14834205933682373,,,,,,3485937675.0261602,,7.38546117590288,0.4090035990878986,3.7322673180151607,17.087929779539998,0.0,0.0,,,,,0.1354011585982982,0.058520839733162786,0.0,0.0,,0.0,0.0,1.96218487394958,0.024670550083588236,0.1822033898305085,0.0,0.0,0.0,-0.7815845824411135,-0.08565059251437288,-1.1831442463533226,0.0,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,-0.5308318789994183,TXN
1992,FY,5.668571428571428,0.18819047619047616,0.6102857142857143,0.2834285714285714,,,,,,2416219828.8375,,9.782266513512146,0.3247607296824597,3.01650415585206,6.495214593649193,0.0,0.0,,,,,0.10222579793943562,0.15395950135008118,0.0,0.0,,0.0,0.0,3.2429149797570846,0.040559223473946124,0.3967611336032389,0.0,0.0,0.0,-0.5355805243445693,-0.05766129032258065,-0.7032786885245902,0.0,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,-0.32685714285714285,TXN
1991,FY,5.206681717456138,-0.3139051919869635,0.3200451468424542,-0.06677200905346167,,,,,,1553016950.0632086,,-3.7971074573672574,0.2289234891012984,3.724261271134793,-17.85076954095642,0.0,0.0,,,,,-0.26335836191829937,-0.05601999385548178,0.0,0.0,,0.0,0.0,-1.019559902200489,0.05795171778153287,-0.2200488997555012,0.0,0.0,0.0,-1.20863309352518,-0.07429245283018868,-0.8542372881355932,0.0,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,-0.3868171558959159,TXN
1990,FY,5.2536,-0.0312,0.5552,-0.172,,,,,,1800461192.125,,-46.165671592948726,0.2741679902733364,2.5943244843299706,-8.374238102906979,0.0,0.0,,,,,-0.021661116701976856,-0.11941384848525705,0.0,0.0,,0.0,0.0,-17.7948717948718,0.05220884538425191,-2.41025641025641,0.0,0.0,0.0,-1.3097982708933718,-0.13841936957514847,-1.6802218114602587,0.0,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,-0.7272,TXN
1989,FY,4.897869566572533,0.21906324116732973,0.5996640317864683,-0.048063241120017496,,,,,,1773458014.0851095,,6.07973265027463,0.27192352137952275,2.220986867983856,-27.71028147007984,0.0,0.0,,,,,0.16448091676446147,-0.036087688285654895,0.0,0.0,,0.0,0.0,2.737401439835448,0.05486456359678471,0.3335618786424409,0.0,0.0,0.0,-1.0801502817783344,-0.13224673791379812,-1.9010359268238923,0.0,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,-0.6477272729064858,TXN
1988,FY,4.872426317066244,0.28353081272500563,,,,,,,,1929816205.6437886,,5.268403509811051,0.3065730770864505,0.0,0.0,0.0,0.0,,,0.0,0.0,0.18981082184342107,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,TXN
1987,FY,4.397827886354716,0.20194869675655136,,,,,,,,2542341652.878601,,9.896230645693267,0.4544359018462062,0.0,0.0,0.0,0.0,,,0.0,0.0,0.10104857453329356,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,TXN
1986,FY,5.254225350262597,0.042147887309102856,,,,,,,,1328921242.4999301,,33.30629680450952,0.267173550965004,0.0,0.0,0.0,0.0,,,0.0,0.0,0.030024352628257506,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,TXN
